query_idx,recall,underfill,latency_ms,dist_ops,n_returned,strategy,target_selectivity,true_selectivity,sel_hat,metadata_variant,planner_reason
136,1.0,False,0.027399990358389914,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
137,1.0,False,0.023300002794712782,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
138,1.0,False,0.02439999661874026,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
139,1.0,False,0.023900007363408804,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
140,1.0,False,0.02720000338740647,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
141,1.0,False,0.02929999027401209,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
142,1.0,False,0.030399998649954796,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
143,1.0,False,0.026300011086277664,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
144,1.0,False,0.03099998866673559,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
145,1.0,False,0.03329999162815511,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
146,1.0,False,0.02400000812485814,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
147,1.0,False,0.024299995857290924,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
148,1.0,False,0.03680000372696668,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
149,1.0,False,0.03190001007169485,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
150,1.0,False,0.028700000257231295,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
151,1.0,False,0.024599998141638935,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
152,1.0,False,0.023800006601959467,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
153,1.0,False,0.029300004825927317,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
154,1.0,False,0.025999994250014424,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
155,1.0,False,0.037600009818561375,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
156,1.0,False,0.030099996365606785,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
157,1.0,False,0.025899993488565087,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
158,1.0,False,0.026200010324828327,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
159,1.0,False,0.02439999661874026,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
160,1.0,False,0.02400000812485814,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
161,1.0,False,0.02720000338740647,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
162,1.0,False,0.0295999925583601,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
163,1.0,False,0.024900000425986946,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
164,1.0,False,0.025999994250014424,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
165,1.0,False,0.027699992642737925,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
166,1.0,False,0.03359999391250312,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
167,1.0,False,0.034199998481199145,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
168,1.0,False,0.032500000088475645,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
169,1.0,False,0.02819999644998461,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
170,1.0,False,0.023500004317611456,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
171,1.0,False,0.024299995857290924,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
172,1.0,False,0.03239999932702631,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
173,1.0,False,0.027000001864507794,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
174,1.0,False,0.024499997380189598,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
175,1.0,False,0.029800008633174002,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
176,1.0,False,0.028299997211433947,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
177,1.0,False,0.034899989259429276,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
178,1.0,False,0.0295999925583601,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
179,1.0,False,0.023600005079060793,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
180,1.0,False,0.030099996365606785,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
181,1.0,False,0.03679998917505145,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
182,1.0,False,0.03359999391250312,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
183,1.0,False,0.02920000406447798,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
184,1.0,False,0.025500004994682968,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
185,1.0,False,0.03099998866673559,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
186,1.0,False,0.024900000425986946,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
187,1.0,False,0.02479999966453761,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
188,1.0,False,0.023800006601959467,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
189,1.0,False,0.0295999925583601,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
190,1.0,False,0.027600006433203816,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
191,1.0,False,0.029399991035461426,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
192,1.0,False,0.02409999433439225,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
193,1.0,False,0.03560000914148986,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
